AGGH,Honiara International Airport
KHRX,Hereford Municipal Airport
KHSB,Harrisburg-Raleigh Airport
KHSD,Sundance Airpark
KHSG,Hot Springs County Airport
KHSI,Hastings Municipal Airport
KHSP,Ingalls Field
KHST,Homestead ARB Airport
KHSV,Huntsville International Carl T Jones Field
KHTL,Roscommon County - Blodgett Memorial Airport
KHTO,East Hampton Airport
KHTS,Tri-State/Milton J. Ferguson Field
KHUA,Redstone Army Air Field
KHUF,"Terre Haute Regional Airport, Hulman Field"
KHUL,Houlton International Airport
KHUM,Houma Terrebonne Airport
KHUT,Hutchinson Municipal Airport
KHVN,Tweed New Haven Airport
KHVR,Havre City County Airport
KHVS,Hartsville Regional Airport
KHWD,Hayward Executive Airport
KHWO,North Perry Airport
KHWV,Brookhaven Airport
KHWY,Warrenton Fauquier Airport
KHXD,Hilton Head Airport
KHYA,Barnstable Municipal Boardman Polando Field
KHYI,San Marcos Regional Airport
KHYR,Sawyer County Airport
KHYS,Hays Regional Airport
KHYW,Conway Horry County Airport
KHYX,Saginaw County H.W. Browne Airport
KHZD,Carroll County Airport
KHZE,Mercer County Regional Airport
KHZL,Hazleton Municipal Airport
KHZR,False River Regional Airport
KHZX,Isedor Iverson Airport
KHZY,Northeast Ohio Regional Airport
KI23,Fayette County Airport
KI35,Tucker Guthrie Memorial Airport
KI63,Mount Sterling Municipal Airport
KI67,Cincinnati West Airport
KI68,Warren County Airport/John Lane Field
KI69,Clermont County Airport
KI74,Grimes Field
KI75,Osceola Municipal Airport
KIAB,Mc Connell Air Force Base
KIAD,Washington Dulles International Airport
KIAG,Niagara Falls International Airport
KIAH,George Bush Intercontinental Houston Airport
KIBM,Kimball Municipal Robert E Arraj Field
KICL,Schenck Field
KICR,Winner Regional Airport
KICT,Wichita Eisenhower National Airport
KIDA,Idaho Falls Regional Airport
KIDI,Indiana County/Jimmy Stewart Fld/ Airport
KIDP,Independence Municipal Airport
KIEN,Pine Ridge Airport
KIER,Natchitoches Regional Airport
KIFA,Iowa Falls Municipal Airport
KIFP,Laughlin Bullhead International Airport
KIGM,Kingman Airport
KIGQ,Lansing Municipal Airport
KIIB,Independence Municipal Airport
KIIY,Washington Wilkes County Airport
KIJD,Windham Airport
KIJX,Jacksonville Municipal Airport
KIKG,Kleberg County Airport
KIKK,Greater Kankakee Airport
KIKV,Ankeny Regional Airport
KILE,Skylark Field
KILG,New Castle Airport
KILM,Wilmington International Airport
KILN,Wilmington Airpark
KIML,Imperial Municipal Airport
KIMM,Immokalee Regional Airport
KIMS,Madison Municipal Airport
KIMT,Ford Airport
KIND,Indianapolis International Airport
KINJ,Hillsboro Municipal Airport
KINK,Winkler County Airport
KINL,Falls International Airport
KINS,Creech Air Force Base
KINT,Smith Reynolds Airport
KINW,Winslow Lindbergh Regional Airport
KIOB,Mount Sterling Montgomery County Airport
KIOW,Iowa City Municipal Airport
KIPL,Imperial County Airport
KIPT,Williamsport Regional Airport
KIRK,Kirksville Regional Airport
KIRS,Kirsch Municipal Airport
KISM,Kissimmee Gateway Airport
KISO,Kinston Regional Jetport At Stallings Field
KISP,Long Island Mac Arthur Airport
KISQ,Schoolcraft County Airport
KISW,Alexander Field South Wood County Airport
KITH,Ithaca Tompkins Regional Airport
KITR,Kit Carson County Airport
KIWA,Phoenix-Mesa-Gateway Airport
KIWD,Gogebic Iron County Airport
KIWI,Wiscasset Airport
KIXA,Halifax-Northampton Regional Airport
KIXD,New Century Aircenter Airport
KIZA,Santa Ynez Airport
KIZG,Eastern Slopes Regional Airport
KJAC,Jackson Hole Airport
KJAN,Jackson-Medgar Wiley Evers International Airport
KJAS,Jasper County Airport-Bell Field
KJAU,Colonel Tommy C Stiner Airfield
KJAX,Jacksonville International Airport
KJCT,Kimble County Airport
KJDD,Wood County Airport
KJDN,Jordan Airport
KJEF,Jefferson City Memorial Airport
KJER,Jerome County Airport
KJES,Jesup Wayne County Airport
KJFK,John F Kennedy International Airport
KJFX,Walker County Airport-Bevill Field
KJFZ,Tazewell County Airport
KJGG,Williamsburg Jamestown Airport
KJHW,Chautauqua County-Jamestown Airport
KJKA,Jack Edwards Airport
KJKJ,Moorhead Municipal Airport
KJKL,Julian Carroll Airport
KJLN,Joplin Regional Airport
KJMR,Mora Municipal Airport
KJMS,Jamestown Regional Airport
KJNX,Johnston County Airport
KJOT,Joliet Regional Airport
KJQF,Concord-Padgett Regional Airport
KJSO,Cherokee County Airport
KJST,John Murtha Johnstown Cambria County Airport
KJSV,Sallisaw Municipal Airport
KJVL,Southern Wisconsin Regional Airport
KJVY,Clark Regional Airport
KJWG,Watonga Regional Airport
KJWY,Mid Way Regional Airport
KJXI,Fox Stephens Field Gilmer Municipal Airport
KJXN,Jackson County Reynolds Field
KJYG,St James Municipal Airport
KJYL,Plantation Airpark
KJYM,Hillsdale Municipal Airport
KJYR,York Municipal Airport
KJZI,Charleston Executive Airport
KJZP,Pickens County Airport
KK88,Allen County Airport
KKLS,Southwest Washington Regional Airport
KKNB,Kanab Municipal Airport
KL08,Borrego Valley Airport
KL35,Big Bear City Airport
KLAF,Purdue University Airport
KLAL,Lakeland Linder International Airport
KLAM,Los Alamos Airport
KLAN,Capital City Airport
KLAR,Laramie Regional Airport
KLAS,McCarran International Airport
KLAW,Lawton Fort Sill Regional Airport
KLAX,Los Angeles International Airport
KLBB,Lubbock Preston Smith International Airport
KLBF,North Platte Regional Airport Lee Bird Field
KLBL,Liberal Mid-America Regional Airport
KLBO,Floyd W. Jones Lebanon Airport
KLBX,Texas Gulf Coast Regional Airport
KLCG,Wayne Municipal Airport
KLCH,Lake Charles Regional Airport
KLCI,Laconia Municipal Airport
KLCK,Rickenbacker International Airport
KLCQ,Lake City Gateway Airport
KLDJ,Linden Airport
KLDM,Mason County Airport
KLEB,Lebanon Municipal Airport
KLEE,Leesburg International Airport
KLEW,Auburn Lewiston Municipal Airport
KLEX,Blue Grass Airport
KLFI,Langley Air Force Base
KLFK,Angelina County Airport
KLFT,Lafayette Regional Airport
KLGA,La Guardia Airport
KLGB,Long Beach /Daugherty Field/ Airport
KLGC,LaGrange Callaway Airport
KLGD,La Grande/Union County Airport
KLGF,Laguna Army Airfield
KLGU,Logan-Cache Airport
KLHB,Hearne Municipal Airport
KLHM,Lincoln Regional Karl Harder Field
KLHQ,Fairfield County Airport
KLHW,Wright AAF (Fort Stewart)/Midcoast Regional Airport
KLHX,La Junta Municipal Airport
KLHZ,Triangle North Executive Airport
KLIC,Limon Municipal Airport
KLIT,Bill & Hillary Clinton National Airport/Adams Field
KLJF,Litchfield Municipal Airport
KLKR,Lancaster County-Mc Whirter Field
KLKU,Louisa County Airport/Freeman Field
KLKV,Lake County Airport
KLLQ,Monticello Municipal Ellis Field
KLMO,Vance Brand Airport
KLMT,Crater Lake-Klamath Regional Airport
KLNC,Lancaster Airport
KLND,Hunt Field
KLNK,Lincoln Airport
KLNL,Kings Land O' Lakes Airport
KLNN,Willoughby Lost Nation Municipal Airport
KLNP,Lonesome Pine Airport
KLNR,Tri-County Regional Airport
KLNS,Lancaster Airport
KLOL,Derby Field
KLOM,Wings Field
KLOT,Lewis University Airport
KLOU,Bowman Field
KLOZ,London-Corbin Airport/Magee Field
KLPC,Lompoc Airport
KLPR,Lorain County Regional Airport
KLQK,Pickens County Airport
KLRD,Laredo International Airport
KLRF,Little Rock Air Force Base
KLRJ,Le Mars Municipal Airport
KLRO,Mt Pleasant Regional-Faison field
KLRU,Las Cruces International Airport
KLRY,Lawrence Smith Memorial Airport
KLSE,La Crosse Municipal Airport
KLSF,Lawson Army Air Field (Fort Benning)
KLSV,Nellis Air Force Base
KLTS,Altus Air Force Base
KLUD,Decatur Municipal Airport
KLUF,Luke Air Force Base
KLUG,Ellington Airport
KLUK,Cincinnati Municipal Airport Lunken Field
KLUL,Hesler Noble Field
KLUM,Menomonie Municipal Score Field
KLUX,Laurens County Airport
KLVJ,Pearland Regional Airport
KLVK,Livermore Municipal Airport
KLVL,Lawrenceville Brunswick Municipal Airport
KLVM,Mission Field
KLVN,Airlake Airport
KLVS,Las Vegas Municipal Airport
KLWA,South Haven Area Regional Airport
KLWB,Greenbrier Valley Airport
KLWC,Lawrence Municipal Airport
KLWM,Lawrence Municipal Airport
KLWS,Lewiston Nez Perce County Airport
KLWT,Lewistown Municipal Airport
KLWV,Lawrenceville Vincennes International Airport
KLXL,Little Falls-Morrison County-Lindbergh field
KLXN,Jim Kelly Field
KLXT,Lee's Summit Municipal Airport
KLXV,Lake County Airport
KLXY,Mexia Limestone County Airport
KLYH,Lynchburg Regional Preston Glenn Field
KLYO,Lyons-Rice County Municipal Airport
KLYV,Quentin Aanenson Field
KLZU,Gwinnett County Briscoe Field
KLZZ,Lampasas Airport
KM02,Dickson Municipal Airport
KM04,Covington Municipal Airport
KM08,William L. Whitehurst Field
KM19,Newport Regional Airport
KM21,Muhlenberg County Airport
KM30,Metropolis Municipal Airport
KM40,Monroe County Airport
KM54,Lebanon Municipal Airport
KM75,Malta Airport
KM91,Springfield Robertson County Airport
KMAE,Madera Municipal Airport
KMAF,Midland International Airport
KMAI,Marianna Municipal Airport
KMAO,Marion County Airport
KMAW,Malden Regional Airport
KMBG,Mobridge Municipal Airport
KMBL,Manistee Co Blacker Airport
KMBO,Bruce Campbell Field
KMBS,MBS International Airport
KMBT,Murfreesboro Municipal Airport
KMCB,Mc Comb/Pike County Airport/John E Lewis Field
KMCC,Mc Clellan Airfield
KMCD,Mackinac Island Airport
KMCE,Merced Regional Macready Field
KMCF,Mac Dill Air Force Base
KMCI,Kansas City International Airport
KMCK,Mc Cook Ben Nelson Regional Airport
KMCN,Middle Georgia Regional Airport
KMCO,Orlando International Airport
KMCW,Mason City Municipal Airport
KMDD,Midland Airpark
KMDH,Southern Illinois Airport
KMDQ,Madison County Executive Airport-Tom Sharp Jr Field
KMDS,Madison Municipal Airport
KMDT,Harrisburg International Airport
KMDW,Chicago Midway International Airport
KMDZ,Taylor County Airport
KMEB,Laurinburg Maxton Airport
KMEI,Key Field
KMEM,Memphis International Airport
KMEV,Minden-Tahoe Airport
KMEZ,Mena Intermountain Municipal Airport
KMFD,Mansfield Lahm Regional Airport
KMFE,Mc Allen Miller International Airport
KMFI,Marshfield Municipal Airport
KMFR,Rogue Valley International Medford Airport
KMFV,Accomack County Airport
KMGC,Michigan City Municipal Airport
KMGE,Dobbins Air Reserve Base
KMGG,Maple Lake Municipal Airport
KMGJ,Orange County Airport
KMGM,Montgomery Regional (Dannelly Field) Airport
KMGN,Harbor Springs Airport
KMGR,Moultrie Municipal Airport
KMGW,Morgantown Municipal Walter L. Bill Hart Field
KMGY,Dayton-Wright Brothers Airport
KMHE,Mitchell Municipal Airport
KMHK,Manhattan Regional Airport
KMHP,Metter Municipal Airport
KMHT,Manchester-Boston Regional Airport
KMHV,Mojave Airport
KMIA,Miami International Airport
KMIB,Minot Air Force Base
KMIC,Crystal Airport
KMIE,Delaware County Johnson Field
KMIO,Miami Regional Airport
KMIV,Millville Municipal Airport
KMIW,Marshalltown Municipal Airport
KMJQ,Jackson Municipal Airport
KMJX,Ocean County Airport
KMKC,Charles B. Wheeler Downtown Airport
KMKE,General Mitchell International Airport
KMKG,Muskegon County Airport
KMKJ,Mountain Empire Airport
KMKL,McKellar-Sipes Regional Airport
KMKO,Muskogee-Davis Regional Airport
KMKS,Berkeley County Airport
KMKT,Mankato Regional Airport
KMKY,Marco Island Executive Airport
KMLB,Melbourne International Airport
KMLC,Mc Alester Regional Airport
KMLE,Millard Airport
KMLF,Milford Municipal-Ben and Judy Briscoe Field
KMLI,Quad City International Airport
KMLJ,Baldwin County Regional Airport
KMLS,Frank Wiley Field
KMLT,Millinocket Municipal Airport
KMLU,Monroe Regional Airport
KMMH,Mammoth Yosemite Airport
KMMI,McMinn County Airport
KMMK,Meriden Markham Municipal Airport
KMML,Southwest Minnesota Regional Airport - Marshall/Ryan Field
KMMT,Mc Entire Joint National Guard Base
KMMU,Morristown Municipal Airport
KMMV,Mc Minnville Municipal Airport
KMNI,Santee Cooper Regional Airport
KMNM,Menominee Regional Airport
KMNN,Marion Municipal Airport
KMNV,Monroe County Airport
KMNZ,Hamilton Municipal Airport
KMOB,Mobile Regional Airport
KMOD,Modesto City Co-Harry Sham Field
KMOP,Mount Pleasant Municipal Airport
KMOR,Moore Murrell Airport
KMOT,Minot International Airport
KMOX,Morris Municipal - Charlie Schmidt Airport
KMPO,Pocono Mountains Municipal Airport
KMPV,Edward F Knapp State Airport
KMPZ,Mount Pleasant Municipal Airport
KMQB,Macomb Municipal Airport
KMQI,Dare County Regional Airport
KMQJ,Indianapolis Regional Airport
KMQS,Chester County G O Carlson Airport
KMQY,Smyrna Airport
KMRB,Eastern WV Regional Airport/Shepherd Field
KMRC,Maury County Airport
KMRF,Marfa Municipal Airport
KMRH,Michael J. Smith Field
KMRJ,Iowa County Airport
KMRN,Foothills Regional Airport
KMRT,Union County Airport
KMRY,Monterey Peninsula Airport
KMSL,Northwest Alabama Regional Airport
KMSN,Dane County Regional Truax Field
KMSO,Missoula International Airport
KMSP,Minneapolis-St Paul International/Wold-Chamberlain Airport
KMSS,Massena International Richards Field
KMSV,Sullivan County International Airport
KMSY,Louis Armstrong New Orleans International Airport
KMTC,Selfridge Air National Guard Base Airport
KMTH,The Florida Keys Marathon Airport
KMTJ,Montrose Regional Airport
KMTN,Martin State Airport
KMTO,Coles County Memorial Airport
KMTP,Montauk Airport
KMTV,Blue Ridge Airport
KMTW,Manitowoc County Airport
KMUI,Muir Army Air Field (Fort Indiantown Gap) Airport
KMUO,Mountain Home Air Force Base
KMUT,Muscatine Municipal Airport
KMVE,Montevideo Chippewa County Airport
KMVL,Morrisville Stowe State Airport
KMVN,Mt. Vernon Outland Airport
KMVY,Martha's Vineyard Airport
KMWA,Williamson County Regional Airport
KMWC,Lawrence J Timmerman Airport
KMWH,Grant County International Airport
KMWK,Mount Airy Surry County Airport
KMWL,Mineral Wells Airport
KMWM,Windom Municipal Airport
KMWO,Middletown Regional Airport
KMXF,Maxwell Air Force Base
KMXO,Monticello Regional Airport
KMYF,Montgomery-Gibbs Executive Airport
KMYJ,Mexico Memorial Airport
KMYL,McCall Municipal Airport
KMYR,Myrtle Beach International Airport
KMYV,Yuba County Airport
KMYZ,Marysville Municipal Airport
KMZH,Moose Lake Carlton County Airport
KMZZ,Marion Municipal Airport
KN03,Cortland County Chase Field
KN38,Wellsboro Johnston Airport
KNBC,Beaufort MCAS - Merritt Field
KNBG,New Orleans NAS JRB/Alvin Callender Field
KNCA,New River MCAS /H/ /Mccutcheon Fld/ Airport
KNDZ,Whiting Field Naval Air Station South Airport
KNEL,Lakehurst Maxfield Field Airport
KNFE,Fentress Naval Auxiliary Landing Field
KNFG,Camp Pendleton MCAS (Munn Field) Airport
KNFL,Fallon Naval Air Station
KNFW,NAS Fort Worth JRB/Carswell Field
KNGP,Corpus Christi Naval Air Station/Truax Field
KNGU,Norfolk Naval Station (Chambers Field)
KNHK,Patuxent River Naval Air Station (Trapnell Field)
KNID,China Lake Naws (Armitage Field) Airport
KNIP,Jacksonville Naval Air Station (Towers Field)
KNJK,El Centro NAF Airport (Vraciu Field)
KNJM,Bogue Field Mcalf Airport
KNKT,Cherry Point MCAS /Cunningham Field/
KNKX,Miramar Marine Corps Air Station - Mitscher Field
KNLC,Lemoore Naval Air Station (Reeves Field) Airport
KNMM,Meridian Naval Air Station
KNOG,Orange Grove Naval Auxiliary Landing Field
KNOW,Port Angeles Cgas Airport
KNPA,Pensacola Naval Air Station/Forrest Sherman Field
KNQA,Millington-Memphis Airport
KNQI,Kingsville Naval Air Station
KNQX,Naval Air Station Key West/Boca Chica Field
KNRB,Naval Station Mayport (Admiral David L. Mcdonald Field)
KNRS,Naval Outlying Field Imperial Beach (Ream Field)
KNSE,Whiting Field Naval Air Station - North
KNSI,San Nicolas Island Nolf Airport
KNTD,Point Mugu Naval Air Station (Naval Base Ventura Co)
KNTU,Oceana Naval Air Station
KNUC,San Clemente Island Naval Auxiliary Landing Field
KNUI,Webster Nolf Airport
KNUW,Whidbey Island Naval Air Station (Ault Field)
KNXP,Twentynine Palms (Self) Airport
KNY0,Fulton County Airport
KNYG,Quantico MCAF /Turner field
KNYL,Yuma MCAS/Yuma International Airport
KNZY,North Island Naval Air Station-Halsey Field
KO32,Reedley Municipal Airport
KO54,Lonnie Pool Field Weaverville Airport
KO69,Petaluma Municipal Airport
KO86,Trinity Center Airport
KOAJ,Albert J Ellis Airport
KOAK,Metropolitan Oakland International Airport
KOBE,Okeechobee County Airport
KOCF,Ocala International Airport - Jim Taylor Field
KOCH,A L Mangham Jr. Regional Airport
KOCQ,J. Douglas Bake Memorial Airport
KOCW,Warren Field
KODO,Odessa Schlemeyer Field
KODX,Evelyn Sharp Field
KOEB,Branch County Memorial Airport
KOEL,Oakley Municipal Airport
KOEL,Oakley Municipal Airport
KOEO,L O Simenstad Municipal Airport
KOFF,Offutt Air Force Base
KOFK,Karl Stefan Memorial Airport
KOFP,Hanover County Municipal Airport
KOGA,Searle Field
KOGB,Orangeburg Municipal Airport
KOGD,Ogden Hinckley Airport
KOGS,Ogdensburg International Airport
KOIN,Oberlin Municipal Airport
KOJA,Thomas P Stafford Airport
KOJC,Johnson County Executive Airport
KOKB,Oceanside Municipal Airport
KOKC,Will Rogers World Airport
KOKK,Kokomo Municipal Airport
KOKM,Okmulgee Regional Airport
KOKV,Winchester Regional Airport
KOKZ,Kaolin Field
KOLE,Cattaraugus County-Olean Airport
KOLF,L M Clayton Airport
KOLG,Solon Springs Municipal Airport
KOLM,Olympia Regional Airport
KOLS,Nogales International Airport
KOLU,Columbus Municipal Airport
KOLV,Olive Branch Airport
KOLY,Olney Noble Airport
KOLZ,Oelwein Municipal Airport
KOMA,Eppley Airfield
KOMK,Omak Airport
KOMN,Ormond Beach Municipal Airport
KONA,Winona Municipal-Max Conrad Field
KONL,The O'Neill Municipal John L Baker Field
KONM,Socorro Municipal Airport
KONO,Ontario Municipal Airport
KONP,Newport Municipal Airport
KONT,Ontario International Airport
KONX,Currituck County Regional Airport
KONZ,Grosse Ile Municipal Airport
KOOA,Oskaloosa Municipal Airport
KOPF,Opa-locka Executive Airport
KOPL,St Landry Parish Ahart Field
KOPN,Thomaston Upson County Airport
KOQN,Brandywine Airport
KOQU,Quonset State Airport
KORB,Orr Regional Airport
KORD,Chicago O'Hare International Airport
KORE,Orange Municipal Airport
KORF,Norfolk International Airport
KORG,Orange County Airport
KORH,Worcester Regional Airport
KORL,Orlando Executive Airport
KORS,Orcas Island Airport
KOSA,Mount Pleasant Regional Airport
KOSC,Oscoda Wurtsmith Airport
KOSH,Wittman Regional Airport
KOSU,The Ohio State University Airport - Don Scott Field
KOTG,Worthington Municipal Airport
KOTH,Southwest Oregon Regional Airport
KOTM,Ottumwa Regional Airport
KOVE,Oroville Municipal Airport
KOVL,Olivia Regional Airport
KOVS,Boscobel Airport
KOWA,Owatonna Degner Regional Airport
KOWB,Owensboro Daviess County Airport
KOWD,Norwood Memorial Airport
KOWI,Ottawa Municipal Airport
KOWP,William R. Pogue Municipal Airport
KOWX,Putnam County Airport
KOXB,Ocean City Municipal Airport
KOXC,Waterbury Oxford Airport
KOXD,Miami University Airport
KOXI,Starke County Airport
KOXR,Oxnard Airport
KOXV,Knoxville Municipal Airport
KOYM,St Marys Municipal Airport
KOZA,Ozona Municipal Airport
KOZR,Cairns AAF (Fort Rucker) Air Field
KOZW,Livingston County Spencer J. Hardy Airport
KPAE,Snohomish County (Paine Field) Airport
KPAH,Barkley Regional Airport
KPAM,Tyndall Air Force Base
KPAN,Payson Airport
KPAO,Palo Alto Airport of Santa Clara County
KPBG,Plattsburgh International Airport
KPBI,Palm Beach International Airport
KPBX,Pike County-Hatcher Field
KPCM,Plant City Municipal Airport
KPCW,Carl R Keller Field
KPCZ,Waupaca Municipal Airport
KPDC,Prairie Du Chien Municipal Airport
KPDK,DeKalb Peachtree Airport
KPDT,Eastern Oregon Regional At Pendleton Airport
KPDX,Portland International Airport
KPEA,Pella Municipal Airport
KPEO,Penn Yan Airport
KPEQ,Pecos Municipal Airport
KPEX,Paynesville Municipal Airport
KPEZ,Pleasanton Municipal Airport
KPGA,Page Municipal Airport
KPGD,Charlotte County Airport
KPGV,Pitt Greenville Airport
KPHD,Harry Clever Field
KPHF,Newport News Williamsburg International Airport
KPHL,Philadelphia International Airport
KPHN,St Clair County International Airport
KPHP,Philip Airport
KPHT,Henry County Airport
KPHX,Phoenix Sky Harbor International Airport
KPIA,General Wayne A. Downing Peoria International Airport
KPIB,Hattiesburg Laurel Regional Airport
KPIE,St Petersburg Clearwater International Airport
KPIH,Pocatello Regional Airport
KPIL,Port Isabel Cameron County Airport
KPIM,Harris County Airport
KPIR,Pierre Regional Airport
KPIT,Pittsburgh International Airport
KPJC,Zelienople Municipal Airport
KPKB,Mid Ohio Valley Regional Airport
KPKD,Park Rapids Municipal Konshok Field
KPLD,Portland Municipal Airport
KPLN,Pellston Regional Airport of Emmet County Airport
KPLR,St Clair County Airport
KPLU,Pierce County-Thun Field
KPMD,Palmdale Regional/USAF Plant 42 Airport
KPMH,Greater Portsmouth Regional Airport
KPMP,Pompano Beach Airpark
KPMU,Panola County Airport
KPMV,Plattsmouth Municipal Airport
KPNA,Ralph Wenz Field
KPNC,Ponca City Regional Airport
KPNE,Northeast Philadelphia Airport
KPNM,Princeton Municipal Airport
KPNS,Pensacola Regional Airport
KPNT,Pontiac Municipal Airport
KPOB,Pope Field
KPOC,Brackett Field
KPOE,Polk Army Air Field
KPOF,Poplar Bluff Municipal Airport
KPOU,Dutchess County Airport
KPOV,Portage County Airport
KPOY,Powell Municipal Airport
KPPA,Perry Lefors Field
KPPF,Tri-City Airport
KPPO,La Porte Municipal Airport
KPPQ,Pittsfield Penstone Municipal Airport
KPQI,Northern Maine Regional Airport at Presque Isle
KPQL,Trent Lott International Airport
KPQN,Pipestone Municipal Airport
KPRB,Paso Robles Municipal Airport
KPRC,Ernest A. Love Field
KPRG,Edgar County Airport
KPRN,Mac Crenshaw Memorial Airport
KPRO,Perry Municipal Airport
KPRS,Presidio Lely International Airport
KPRX,Cox Field
KPSC,Tri Cities Airport
KPSF,Pittsfield Municipal Airport
KPSK,New River Valley Airport
KPSM,Portsmouth International at Pease Airport
KPSN,Palestine Municipal Airport
KPSO,Stevens Field
KPSP,Palm Springs International Airport
KPSX,Palacios Municipal Airport
KPTB,Dinwiddie County Airport
KPTD,Potsdam Municipal-Damon field
KPTK,Oakland County International Airport
KPTN,Harry P Williams Memorial Airport
KPTS,Atkinson Municipal Airport
KPTT,Pratt Regional Airport
KPTW,Heritage Field
KPUB,Pueblo Memorial Airport
KPUC,Carbon County Regional/Buck Davis Field
KPUJ,Paulding Northwest Atlanta Airport
KPUW,Pullman Moscow Regional Airport
KPVB,Platteville Municipal Airport
KPVC,Provincetown Municipal Airport
KPVD,Theodore Francis Green State Airport
KPVE,Beech River Regional Airport
KPVF,Placerville Airport
KPVJ,Pauls Valley Municipal Airport
KPVU,Provo Municipal Airport
KPVW,Hale County Airport
KPWA,Wiley Post Airport
KPWC,Pine River Regional Airport
KPWD,Sher-Wood Airport
KPWG,McGregor Executive Airport
KPWK,Chicago Executive Airport
KPWM,Portland International Jetport Airport
KPWT,Bremerton National Airport
KPXE,Perry Houston County Airport
KPYM,Plymouth Municipal Airport
KPYX,Perryton Ochiltree County Airport
KPZQ,Presque Isle County Airport
KRAL,Riverside Municipal Airport
KRAP,Rapid City Regional Airport
KRAS,Mustang Beach Airport
KRBD,Dallas Executive Airport
KRBG,Roseburg Regional Airport
KRBL,Red Bluff Municipal Airport
KRBO,Nueces County Airport
KRBW,Lowcountry Regional Airport
KRCA,Ellsworth Air Force Base
KRCR,Fulton County Airport
KRCZ,Richmond County Airport
KRDD,Redding Municipal Airport
KRDG,Reading Regional Carl A Spaatz Field
KRDK,Red Oak Municipal Airport
KRDM,Roberts Field
KRDR,Grand Forks Air Force Base
KRDU,Raleigh Durham International Airport
KREO,Rome State Airport
KRFD,Chicago Rockford International Airport
KRFI,Rusk County Airport
KRGK,Red Wing Regional Airport
KRHI,Rhinelander Oneida County Airport
KRHP,Western Carolina Regional Airport
KRHV,Reid-Hillview Airport of Santa Clara County
KRIC,Richmond International Airport
KRIL,Garfield County Regional Airport
KRIV,March ARB Airport
KRIW,Riverton Regional Airport
KRKD,Knox County Regional Airport
KRKP,Aransas County Airport
KRKR,Robert S Kerr Airport
KRKS,Southwest Wyoming Regional Airport
KRKW,Rockwood Municipal Airport
KRLD,Richland Airport
KRME,Griffiss International Airport
KRMG,Richard B Russell Airport
KRMN,Stafford Regional Airport
KRMY,Brooks Field
KRNC,Warren County Memorial Airport
KRND,Randolph Air Force Base
KRNH,New Richmond Regional Airport
KRNM,Ramona Airport
KRNO,Reno Tahoe International Airport
KRNP,Owosso Community Airport
KRNT,Renton Municipal Airport
KRNV,Cleveland Municipal Airport
KROA,Roanoke–Blacksburg Regional Airport
KROC,Greater Rochester International Airport
KROG,Rogers Municipal Airport-Carter Field
KROS,Rush City Regional Airport
KROW,Roswell International Air Center Airport
KROX,Roseau Municipal Rudy Billberg Field
KRPH,Graham Municipal Airport
KRPJ,Rochelle Municipal Airport - Koritz Field
KRQB,Roben Hood Airport
KRQE,Window Rock Airport
KRQO,El Reno Regional Airport
KRRL,Merrill Municipal Airport
KRRT,Warroad International Memorial Airport
KRSL,Russell Municipal Airport
KRSN,Ruston Regional Airport
KRST,Rochester International Airport
KRSV,Robinson Municipal Airport
KRSW,Southwest Florida International Airport
KRTN,Raton Municipal-Crews Field
KRUE,Russellville Regional Airport
KRUG,Rugby Municipal Airport
KRUQ,Mid-Carolina Regional Airport
KRUT,Rutland - Southern Vermont Regional Airport
KRVL,Mifflin County Airport
KRVS,Richard Lloyd Jones Jr Airport
KRWF,Redwood Falls Municipal Airport
KRWI,Rocky Mount Wilson Regional Airport
KRWL,Rawlins Municipal Airport/Harvey Field
KRWV,Caldwell Municipal Airport
KRXE,Rexburg Madison County Airport
KRYN,Ryan Field
KRYV,Watertown Municipal Airport
KRYW,Lago Vista Tx Rusty Allen Airport
KRYY,Cobb County-Mc Collum Field
KRZL,Jasper County Airport
KRZN,Burnett County Airport
KRZR,Cleveland Regional Jetport
KRZT,Ross County Airport
KS21,Sunriver Airport
KS25,Watford City Municipal Airport
KS33,Madras Municipal Airport
KS39,Prineville Airport
KS52,Methow Valley State Airport
KS71,Edgar G Obie Airport
KS85,Big Sky Field
KSAA,Shively Field
KSAC,Sacramento Executive Airport
KSAD,Safford Regional Airport
KSAF,Santa Fe Municipal Airport
KSAN,San Diego International Airport
KSAR,Sparta Community Hunter Field
KSAT,San Antonio International Airport
KSAV,Savannah Hilton Head International Airport
KSAW,Sawyer International Airport
KSAZ,Staples Municipal Airport
KSBA,Santa Barbara Municipal Airport
KSBD,San Bernardino International Airport
KSBM,Sheboygan County Memorial Airport
KSBN,South Bend Regional Airport
KSBO,Emanuel County Airport
KSBP,San Luis County Regional Airport
KSBS,Steamboat Springs Bob Adams Field
KSBY,Salisbury Ocean City Wicomico Regional Airport
KSCD,Merkel Field Sylacauga Municipal Airport
KSCH,Schenectady County Airport
KSCK,Stockton Metropolitan Airport
KSCX,Scott Municipal Airport
KSDA,Shenandoah Municipal Airport
KSDC,Williamson Sodus Airport
KSDF,Louisville International Standiford Field
KSDL,Scottsdale Airport
KSDM,Brown Field Municipal Airport
KSDY,Sidney - Richland Regional Airport
KSEA,Seattle Tacoma International Airport
KSEE,Gillespie Field
KSEF,Sebring Regional Airport
KSEG,Penn Valley Airport
KSEM,Craig Field
KSEP,Stephenville Clark Regional Airport
KSEQ,Randolph Air Force Base Auxiliary Airport
